game_result,turnovers,pass_cmp,pass_att,pass_yds,pass_td,rush_att,rush_yds,rush_td,rush_yds_per_att,tot_plays,tot_yds_per_play,first_down_pass,first_down_rush,first_down_penalty,first_down,penalty,penalty_yds,fumbles_lost,pass_int,havoc,game_loc,points_per_opp,average_field_start,power_success,second_level_yards,open_field_yards,line_yards,success_rate,explosiveness
W (17-6),1,4,2,151,1,48,137,0,2.9,53,5.4,3,4,2,9,5,30,1,0,0.219,0,0.43,61.0,0.5,12.0,12.0,113.0,0.269,1.1
L (3-23),6,10,7,104,0,40,155,0,3.9,64,4.0,8,6,5,19,6,55,4,2,0.069,1,0.75,72.1,0.6,53.0,23.0,141.0,0.422,0.84
L (27-31),1,3,9,60,0,62,344,3,5.5,71,5.7,2,15,5,22,4,30,1,0,0.161,1,3.33,72.1,1.0,69.0,154.0,225.0,0.423,1.18
L (11-24),1,31,44,333,1,21,13,0,0.6,65,5.3,15,1,1,17,9,46,0,1,0.132,0,2.0,77.8,0.0,13.0,1.0,49.0,0.338,1.25
W (29-16),0,19,23,166,1,43,183,3,4.3,67,5.2,11,8,3,22,5,30,0,0,0.141,1,4.8,68.0,1.0,37.0,80.0,86.0,0.403,1.37
L (14-33),1,25,24,244,2,29,69,0,2.4,59,5.3,9,5,1,15,10,86,0,1,0.143,0,7.0,76.7,0.4,22.0,14.0,67.0,0.356,1.35
W (41-39),0,30,24,423,3,33,71,1,2.2,81,6.1,17,8,3,28,6,48,0,0,0.143,0,4.44,72.9,0.5,35.0,32.0,69.0,0.443,1.5
L (36-39),1,26,30,282,3,28,112,1,4.0,70,5.6,13,7,0,20,7,55,1,0,0.156,1,4.86,66.4,1.0,24.0,61.0,75.0,0.371,1.47
L (31-33),2,18,41,239,2,40,261,2,6.5,66,7.6,10,10,3,23,9,48,1,1,0.076,0,5.17,77.3,1.0,62.0,103.0,134.0,0.406,1.69
W (38-17),2,24,31,189,1,40,314,4,7.9,71,7.1,9,13,1,23,3,30,0,2,0.072,1,5.17,69.8,0.75,58.0,143.0,135.0,0.42,1.45
W (35-14),0,20,40,244,0,38,207,5,5.4,69,6.5,13,9,0,22,8,88,0,0,0.218,1,5.83,70.8,0.889,41.0,35.0,147.0,0.565,0.91
W (24-13),2,17,31,145,1,46,212,1,4.6,77,4.6,5,16,2,23,2,25,2,0,0.083,1,2.83,70.4,0.75,52.0,25.0,175.0,0.558,0.63
W (25-21),1,21,28,240,2,35,139,1,4.0,76,5.0,11,11,2,24,6,40,1,0,0.132,0,4.8,72.5,0.833,32.0,32.0,115.0,0.434,1.22
L (14-20),2,21,31,243,2,28,101,0,3.6,71,4.8,10,6,2,18,8,78,2,0,0.194,0,1.75,76.1,1.0,49.0,22.0,114.0,0.38,1.26
W (24-17),0,18,50,160,1,40,156,2,3.9,68,4.6,9,9,1,19,4,45,0,0,0.193,1,3.4,68.7,0.6,34.0,18.0,124.0,0.467,0.96
W (38-3),1,12,24,175,2,41,261,3,6.4,65,6.7,8,11,3,22,4,25,0,1,0.216,1,3.44,54.3,0.5,49.0,80.0,113.0,0.429,1.27
W (16-14),0,17,32,187,1,40,103,0,2.6,65,4.5,7,6,0,13,6,40,0,0,0.344,0,2.67,69.6,0.667,28.0,22.0,48.0,0.317,1.08
W (31-23),1,12,25,241,3,44,136,0,3.1,66,5.7,6,7,2,15,10,108,0,1,0.31,1,1.0,66.7,0.25,35.0,29.0,96.0,0.308,1.62
W (20-9),1,22,34,274,1,36,131,1,3.6,69,5.9,12,6,1,19,4,20,0,1,0.355,0,2.5,62.4,0.5,24.0,45.0,78.0,0.435,1.16
W (42-14),1,28,22,307,4,47,260,2,5.5,83,6.8,19,13,1,33,5,35,0,1,0.316,0,5.25,68.4,0.5,63.0,58.0,143.0,0.581,1.13
